,sc2304,sc2305,sc2306,sc2307,sc2308,sc2309,sc2310
148,491.9,583.4,523.5,519.6,581.0,671.4,718.6
149,487.6,583.4,523.0,519.0,581.4,671.4,718.3
150,491.8,583.4,523.9,518.5,575.6,670.1,717.5
151,490.1,585.0,525.7,519.3,582.0,671.0,717.3
152,487.4,583.4,527.4,517.6,574.5,671.0,720.2
153,493.3,583.5,526.6,525.1,581.3,669.0,721.0
154,482.6,584.5,526.3,525.4,585.0,670.4,720.8
155,491.8,583.4,526.3,516.8,575.0,670.7,720.3
156,491.3,581.0,526.7,524.5,574.9,670.4,720.6
157,490.8,580.9,526.5,518.7,581.2,670.8,720.0
158,505.5,582.0,527.4,517.6,574.3,672.0,716.2
159,490.8,583.3,524.0,525.1,585.2,671.6,719.9
160,491.3,582.2,523.8,524.7,573.7,670.0,719.9
161,486.5,583.5,522.2,519.6,575.7,670.2,720.0
162,485.4,585.0,521.9,520.6,582.0,667.7,721.0
163,486.0,584.3,522.4,520.3,584.7,667.2,721.3
164,485.0,585.2,522.4,521.2,584.3,667.2,721.0
165,485.7,585.6,524.5,526.6,580.5,667.4,721.6
166,491.8,580.5,523.0,526.9,581.1,667.2,722.0
167,490.6,583.7,523.5,515.9,584.8,667.6,721.7
168,491.7,588.8,521.0,516.6,575.9,670.1,721.6
169,489.9,590.2,518.2,519.0,576.1,669.1,722.3
170,491.2,590.8,519.0,517.3,576.3,667.7,722.9
171,491.3,590.6,518.2,527.1,584.2,668.5,727.5
172,491.7,591.0,518.7,517.2,581.6,669.5,730.3
173,486.0,591.0,520.5,517.5,583.5,668.9,730.0
174,492.5,591.3,514.8,519.0,581.4,668.5,734.5
175,492.5,591.6,514.9,517.0,577.6,667.5,734.5
176,492.8,592.0,516.0,517.2,582.7,668.2,734.5
177,492.6,592.0,516.1,524.5,582.5,667.1,732.0
178,491.9,592.0,516.0,519.6,582.5,667.2,729.2
179,487.6,592.4,515.4,519.0,582.8,668.0,738.0
180,491.8,593.8,515.8,518.5,577.2,667.5,737.7
181,490.1,593.2,515.2,519.3,581.3,667.9,738.5
182,487.4,592.2,514.2,517.6,578.7,667.5,740.1
183,493.3,592.6,514.5,525.1,579.2,668.1,740.8
184,482.6,592.7,514.2,525.4,579.1,667.1,741.0
185,491.8,593.3,514.5,516.8,582.0,667.6,736.0
186,491.3,593.1,514.4,524.5,579.3,667.7,733.1
187,490.8,593.8,516.6,518.7,579.7,670.0,732.9
188,505.5,593.3,516.4,517.6,580.1,671.1,731.0
189,490.8,594.3,516.3,525.1,581.4,671.6,728.8
190,491.3,594.4,517.1,524.7,581.1,671.0,728.8
191,486.5,595.0,516.6,519.6,581.6,670.6,731.0
192,485.4,594.2,516.5,520.6,579.7,671.3,731.7
193,486.0,595.3,514.8,520.3,582.2,673.3,732.0
194,485.0,595.9,515.9,521.2,593.4,672.2,731.7
195,485.7,596.1,515.0,526.6,579.8,671.9,731.3
196,491.8,595.7,514.7,526.9,583.8,673.4,731.7
197,490.4,596.3,516.2,515.9,581.6,672.3,731.1
198,490.2,595.9,516.0,516.6,579.3,671.6,733.4
199,495.5,595.9,515.4,519.0,578.5,671.0,733.4
200,481.7,595.3,514.5,517.3,584.0,671.2,734.0
201,489.9,594.6,512.6,527.1,585.5,671.9,733.5
202,480.9,596.7,512.0,517.2,580.4,673.0,733.4
203,499.8,597.0,510.7,517.5,578.4,673.1,732.3
204,483.4,595.8,511.2,519.0,577.9,673.5,731.5
205,500.3,595.5,512.1,517.0,576.9,673.8,731.5
206,491.5,595.1,513.2,517.2,579.1,674.1,732.3
207,492.8,594.3,513.5,524.5,585.9,674.0,732.0
208,501.1,593.7,513.5,519.6,590.6,675.3,732.1
209,501.3,593.2,509.1,519.0,578.2,675.5,731.6
210,495.7,595.2,510.5,518.5,579.3,674.3,732.0
211,485.6,594.8,511.0,519.3,589.3,673.5,732.5
212,516.3,595.6,510.1,517.6,577.2,673.7,732.0
213,505.5,594.3,510.9,525.1,586.7,673.6,731.9
214,502.9,595.6,510.9,525.4,587.0,672.9,731.4
215,517.6,592.4,509.1,516.8,579.4,673.1,731.9
216,490.6,594.1,508.6,524.5,581.0,672.0,732.0
217,491.7,589.3,511.7,518.7,581.4,673.3,732.3
218,489.9,589.3,510.8,517.6,575.6,673.3,734.3
219,491.2,589.5,512.5,525.1,582.0,673.0,735.5
